premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,neutral,null,Hypothesis: The man is not cleaning the fish that he caught so he can cook it.,null
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy watches boats on a lake.,contradiction,null,Hypothesis: A boy watches a man on stage jumping and seems to be really enjoying it.,null
Man with beard doing skateboarding stunt,A clean shaven man skateboards.,contradiction,null,Hypothesis: A man with a beard is skateboarding.,null
A woman in a blue top and pencil skirt walks by a balding man in a pinstriped suit.,They know each other.,neutral,null,Hypothesis: They are strangers.,null
Many women trying out and looking at laptops in a Walmart.,Women are shopping at safeway for lamb chops.,contradiction,null,Hypothesis: Women are shopping at Walmart for laptops.,null
An older gentlemen in a hat and glasses holding a baby who is wrapped in a towel.,An older man in clothing accessories is quietly cradaling an infant who is wrapped in a towel.,neutral,null,Hypothesis: A young woman in clothing accessories is loudly holding an infant who is wrapped in a towel.,null
A dog and a cat are swimming in a swimming pool.,Two animals are swimming.,entailment,null,Hypothesis: Two animals are flying.,null
An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks his dog on a rainy afternoon.,contradiction,null,Hypothesis: An Asian man walks a three-wheeled pedal cart full of white bags.,null
A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children watch the man make dogs and giraffes out of balloons,entailment,null,Hypothesis: The children watched the man make cars and planes out of balloons.,null
Two girls playing catch on a lawn,Two girls are walking beside a pond with ducks and swans.,contradiction,null,Hypothesis: Two girls are playing catch on a lawn.,null
A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.,Two men are playing frisbee in the park.,contradiction,null,Hypothesis: A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.,null
A girl with a blue shirt and a girl with a striped shirt stand next to a girl with a green shirt sitting in a chair.,The three girls are arm wrestling in China town.,contradiction,null,Hypothesis: The three girls are standing next to a chair.,null
a skier is throwing up snow as he skis off piste.,A skier skis.,entailment,null,Hypothesis: A skier is snowboarding.,null
The child is hanging upside down with his legs over a pole.,The child is athletic.,neutral,null,Hypothesis: The child is not athletic.,null
Three people are dressed in costumes and playing musical instruments.,The people are playing at a festival.,neutral,null,Hypothesis: The people are not playing at a festival.,null
A skier goes down a hill with a mountain as a backdrop.,A skier going down the bunny hill.,neutral,null,Hypothesis: A skier going down the steep slope of a mountain.,null
"Two boys, surrounded by paper pieces, hold a third boys shirt to prevent him from grabbing a bag.",The friends are playing with paper and bags.,neutral,null,Hypothesis: The friends are not playing with paper and bags.,null
"A little girl drawing with chalk, on a chalkboard.",A little girl is drawing on the board during class.,neutral,null,Hypothesis: A little girl is erasing the chalkboard during class.,null
Two girls holding bags walking down the sidewalk.,Two women are enjoying an afternoon of shopping.,neutral,null,Hypothesis: Two women are enjoying an afternoon of hiking.,null
Two men are sitting on a couch.,Two men are standing outside.,contradiction,null,Hypothesis: Two men are sitting on a couch.,null
A man visiting a friend in the hospital.,A man in a hospital receives a visiting friend.,entailment,null,Hypothesis: A man in a hospital receives a visiting friend and is recovering from surgery.,null
A man holding a pink cooler is talking to an older woman.,A man offers a woman a beer.,neutral,null,Hypothesis: A man offers a woman a beer while she is holding a pink cooler.,null
A man is giving a presentation.,the man is not talking,contradiction,null,Hypothesis: the man is talking,null
"A musician playing a guitar and harmonica singing a song with ""Whatever it Takes"" written on his guitar.",The musician is playing the drums.,contradiction,null,Hypothesis: The musician is playing the guitar.,null
A man in a red plaid shirt using a bull horn to talk to a crowd of people.,a man is a comedian,neutral,null,Hypothesis: a man is not a comedian,null
A woman in a low cut blue shirt is in a crowded room that looks smokey.,Someone is in a field.,contradiction,null,Hypothesis: Someone is in a crowded room.,null
A policeman on a motorcycle from the rear.,An officer on a chopper.,contradiction,null,null,"<think>

</think>

<Hypothesis: A policeman on a motorcycle from the rear.>"
"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting inside.,contradiction,null,Hypothesis: A woman is sitting outside.,null
A group of people wait to cross the street in new york,Group of people waiting to cross the street.,entailment,null,Hypothesis: Group of people waiting to cross the street in Paris.,null
"A little boy wearing a yellow, white and black striped shirt is whispering a secret to a little girl wearing a white long sleeved-shirt.",The little boy is good friends with the girl.,neutral,null,Hypothesis: The little boy is a stranger to the girl.,null
A boy in blue shorts and a t-shirt is poised to hit a tennis ball with a racket.,A boy wearing blue shorts and a t-shirt is playing tennis with his friend.,neutral,null,Hypothesis: A boy wearing blue shorts and a t-shirt is not playing tennis with his friend.,null
The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,entailment,null,Hypothesis: The girl is walking inside a heated building.,null
A man is talking on a cellphone while filling his car with gas.,A man talks to his boss while getting gas for his car.,neutral,null,Hypothesis: A man talks to his boss while getting gas for his bicycle.,null
Four people and a baby are crossing the street at a crosswalk.,People and a baby riding the bus.,contradiction,null,Hypothesis: Four people and a baby are crossing the street at a crosswalk.,null
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,entailment,null,Hypothesis: A snow field with no snowboarder on it,null
Two girls are playing in the snow and throwing snowballs.,The snowballs are from fresh snow.,neutral,null,Hypothesis: The snowballs are made of dirt.,null
A female camera operator is capturing some off-camera activity.,A lady is taking a picture,entailment,null,Hypothesis: A lady is taking a video,null
A baby girl and little boy are standing next to a guitar and a drum.,The boy is alone in the bathtub on the moon.,contradiction,null,Hypothesis: The boy is standing next to a drum.,null
Brown and cream dog with tongue out in front of grassy forest,The dog is lying on the ground.,contradiction,null,Hypothesis: The dog is sticking its tongue out.,null
"couples enjoying a meal, while a bunch of dogs take a nap.",SOME ANIMALS ARE ASLEEP,entailment,null,Hypothesis: NO ANIMALS ARE ASLEEP,null
A man holding a baby who is petting a pony.,A man who kidnap a baby is petting a pony.,neutral,null,Hypothesis: A man who kidnaps a baby is not petting a pony.,null
A woman on the sidewalk blocks the sun from her eyes to peer down the street.,A woman covers part of her face.,entailment,null,Hypothesis: A woman covers her entire face.,null
A brown and white dog holds a tennis ball in his mouth.,A dog mouth holds a retrieved ball.,entailment,null,Hypothesis: A dog mouth holds a lost ball.,null
A man in a red shirt is learning how to climb a cliff.,A man is playing videogames.,contradiction,null,Hypothesis: A man is learning how to climb a cliff.,null
"Two men in workers' gear and colorful hard hats standing on board what appears to be a large ship, next to some very large machinery.",two men are sitting by the pool next to machinery on the boat,contradiction,null,"Hypothesis: Two men are standing on board what appears to be a large ship, next to some very large machinery.",null
A man holding a sign of a rainbow elephant.,The donkey sign is smeared with paint.,contradiction,null,Hypothesis: The man is holding a sign of a rainbow elephant.,null
A man and a young girl swimming.,a man and girl swim,entailment,null,Hypothesis: a man and girl do not swim,null
A child in a maroon shirt playing next to a fountain.,The child is at play.,entailment,null,Hypothesis: The child is not at play.,null
Four small children playing in the courtyard of a large building made out of clay or sand.,Four children who live in a large building are in the courtyard playing.,neutral,null,Hypothesis: Four children who live in a large building are in the courtyard playing with their parents.,null
"Six rescuers cooperate to place an injured man on a transport device in snowy, mountainous terrain.",six people act to save a seventh who is injured,entailment,null,Hypothesis: six people act to harm a seventh who is injured,null
A woman sits on a rug next to a shirtless boy who is looking in the direction of a checkers board that includes several pieces.,A woman and her son play the third of a best of three checkers tournament.,neutral,null,Hypothesis: A woman and her son play the third of a best of three checkers tournament.,null
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl in a pink shirt is ready to run in the woods.,neutral,null,Hypothesis: A little girl in a pink shirt is sitting on a chair inside a house.,null
the white dog is carrying a ball in its mouth.,The dog is running with a ball in its mouth.,neutral,null,Hypothesis: The dog is sleeping with a ball in its mouth.,null
two people riding their bikes down a street together.,A couple ride their bikes on a date.,neutral,null,Hypothesis: A couple ride their bikes on a date to the moon.,null
"Blue, red, yellow, and white are the dominant colors of a picture of two police vehicles outside of what looks like a smoke roll playing vehicle, a motorcycle in between the two cars with 6 people in the picture.",There are two police vehicles in the photo.,entailment,null,Hypothesis: There are three police vehicles in the photo.,null
people are sitting on a bench in front of buildings.,Some people are seated on a bench outside.,entailment,null,Hypothesis: Some people are standing on a bench outside.,null
A woman in a striped shirt is walking a horse across a street.,A woman in a striped shirt is running with a dog across a street.,contradiction,null,Hypothesis: A woman in a striped shirt is walking a horse across a street.,null
A man in a blue shirt touches his head while talking to two women outdoors.,three people talk,entailment,null,Hypothesis: Four people talk,null
A couple stands at the top of a flight of outdoor stairs kissing one another.,A couple stands near some stairs.,entailment,null,Hypothesis: A couple stands near a swimming pool.,null
A woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur.,The woman is watching television,contradiction,null,Hypothesis: The woman is looking through a telescope at a statue of a dinosaur.,null
There are many people in a large room with a lot of furniture with tags on them.,"Treasure hunters flock to an estate sale, with a lot of antique furniture for sale.",neutral,null,"Hypothesis: Treasure hunters destroy a large room with modern furniture, leaving nothing intact.",null
"A group of men playing music, the man holding a guitar is talking to a man with drums.",A band plays salsa music.,neutral,null,Hypothesis: A band plays classical music.,null
A man and a woman are showing their kid their little baby.,A man shows off his baseball cards.,contradiction,null,Hypothesis: A man and a woman are showing their kid their little baby.,null
A male wearing a football uniform kicking a football during a football game.,A Dallas Cowboy player is trying to tie the playoff game.,neutral,null,Hypothesis: A Dallas Cowboy player is not trying to tie the playoff game.,null
A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,Two men lie on tables in the morgue.,contradiction,null,"Hypothesis: Two men are standing on a street, one with a suitcase and the other looking at what is displayed on top of it.",null
A group of students are walking through the campus.,A group of people sit at home,contradiction,null,Hypothesis: A group of students sit at home,null
A man on a skateboard performs a trick in the air against the backdrop of a bright blue sky.,A man is riding a skateboard,entailment,null,Hypothesis: A man is not riding a skateboard.,null
"A plane flies overhead as military men stand at attention, a flag blows in the wind as a lady in red stares out towards the camera.",A military event is taking place.,entailment,null,"Hypothesis: A peaceful picnic is taking place.
<new>",null
A man in a blue shirt and a woman in a pink skirt sit around other people in the background.,There are some people doing the limbo.,contradiction,null,Hypothesis: There are some people sitting around in the background.,null
Two teens trying to win a prize at a carnival.,The two teens were doing homework at home.,contradiction,null,Hypothesis: The two teens were trying to win a prize at a carnival.,null
Asian people about to perform animal balloons.,dog looks at the pond,contradiction,null,Hypothesis: People are about to perform animal balloons.,null
A schoolgirl is jumping over a low hurdle.,A girl is jumping over a hurdle.,entailment,null,Hypothesis: A boy is jumping over a hurdle.,null
A man in a purple jersey is falling down while chasing a player in a green jersey playing soccer,They give up and walk off the field,contradiction,null,Hypothesis: They continue playing soccer with determination,null
"A man wearing a black t-shirt that says ""Long Live the Dead"" pulls a shopping cart in the street near a NYC yellow taxi cab.",The man just got done shopping.,neutral,null,Hypothesis: The man just got done shopping at a nearby mall and is heading home.,null
A man in bright shirt carrying a fallen branch.,The man is sipping an ice tea in the shade of a huge maple tree.,contradiction,null,Hypothesis: The man is wearing a bright shirt and holding a fallen branch.,null
There are a group of track runners bracing to take off.,The  track runners are sitting on an airplane,contradiction,null,Hypothesis: The track runners are bracing to take off.,null
A woman wearing jeans is walking down the street.,A woman is walking towards a bus stop.,neutral,null,Hypothesis: A woman is walking away from a bus stop.,null
Four young female gymnasts dressed in black and blue leotards are preparing for their next routine.,Gymnast group preparing for a competition.,entailment,null,Hypothesis: Gymnast group preparing for a competition that is not related to their current routine.,null
A man wearing a white button down shirt is walking down the street.,The man is walking down the street.,entailment,null,Hypothesis: The man is not walking down the street.,null
An Ambulance is passing a man wearing a bandanna and girl.,The ambulance isn't stopped by heavy traffic,entailment,null,Hypothesis: The ambulance is stopped by heavy traffic.,null
"A group of people, including one man carrying a silver tripod, stand in front of a large building featuring numerous columns.",Gerbils chat on Gruveo.,contradiction,null,"Hypothesis: A group of people, including one man carrying a silver tripod, stand in front of a large building featuring numerous columns.",null
A brown dog carries an object in its mouth on a snowy hillside.,A dog is carrying something.,entailment,null,Hypothesis: A dog is not carrying anything.,null
