premise,original_hypothesis,counterfactual_hypothesis
a boy in a red hooded top is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.,The boy doesn't want to see his eyes.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,the man is wearing a gray cap.,the man has wearing a gray cap.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,The man is wearing a blue cap.,The man is wearing a cap
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,The man is wearing a blue cap.,The man is wearing a red and black uniform.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a light jean jacket.,An old grey haired woman has a light jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a light jean jacket.,A young woman has a light blue jean jacket on.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a light jean jacket.,An ugly old woman has a light jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,A young woman has a paper.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,An old woman has no clothes.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has no jacket.,An old person has no jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has no jacket.,An old man has no jacket.
A newlywed couple laughing and talking amongst themselves.,The couple is having fun.,The couple is not getting any.
A newlywed couple laughing and talking amongst themselves.,The couple just got married.,The couple just didn't get married.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing shorts and a t-shirt as he jogs.,The man is wearing shorts and a t-shirt as jogs.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing shorts and a t-shirt as he jogs.,The man is wearing shorts and a t-shirt.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing shorts and a t-shirt as he jogs.,The man is wearing a t-shirt and a baseball hat.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing work attire and is walking to his job.,The man is wearing a t-shirt.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing work attire and is walking to his job.,The man is wearing a t-shirt and is standing in front of an audience.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,The man is wearing work attire and is walking to his job.,The man is wearing work attire is walking to his job.
Several younger people sitting in front of a statue.,several young people sitting outside,several young people sitting outside in the sun
Several younger people sitting in front of a statue.,several young people sitting outside,A group of young people sitting outside
Several younger people sitting in front of a statue.,several young people are sitting in an auditorium,several young people are sitting in the auditorium
Several younger people sitting in front of a statue.,several young people are sitting in an auditorium,Two young people are sitting in an audience
Several younger people sitting in front of a statue.,several young people are sitting in an auditorium,several young people are sitting in an auditorium.
Several younger people sitting in front of a statue.,several young people sitting in a school courtyard,several young people sitting in a a school courtyard
Several younger people sitting in front of a statue.,several young people sitting in a school courtyard,several young people sitting in a school waiting for the bus
Several younger people sitting in front of a statue.,several young people sitting in a school courtyard,A group of young people sitting in a library
A group of adults stands in the bathroom looking down a small child in the bath.,The childs mom is watching her son with her friends.,The childs mom is watching her with her friends.
A group of adults stands in the bathroom looking down a small child in the bath.,The childs mom is watching her son with her friends.,The child's mom is watching her son with her alone
A group of adults stands in the bathroom looking down a small child in the bath.,The childs mom is watching her son with her friends.,The child's mom is watching her son with her alone at her house.
A group of adults stands in the bathroom looking down a small child in the bath.,People are in the house.,Three people are in the house.
A group of adults stands in the bathroom looking down a small child in the bath.,People are in the house.,A group of people are in the street.
A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,The child in blue is sleeping.
A goofy looking woman is singing on stage.,A woman is reciting poetry on the stage.,A woman is singing on the stage.
A goofy looking woman is singing on stage.,A woman is reciting poetry on the stage.,A woman doesn't reciting poetry on the stage.
A goofy looking woman is singing on stage.,A woman is reciting poetry on the stage.,A woman is sitting on a bench reciting poetry on the stage.
A goofy looking woman is singing on stage.,A blonde woman is singing and dancing on the stage.,A brunette woman is singing and dancing on the dance floor.
A goofy looking woman is singing on stage.,A blonde woman is singing and dancing on the stage.,A blonde woman is not dancing on the stage.
A goofy looking woman is singing on stage.,A blonde woman is singing and dancing on the stage.,A blond woman is dancing and singing on the dance floor.
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,A woman is not eating food.
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,A woman is eating in a restaurant.
The girl wearing a brown jacket whilst walking in snow.,The lady wearing a jacket is looking for her lost dog.,The lady wearing a jacket is reading a magazine in a reception room.
The girl wearing a brown jacket whilst walking in snow.,The lady wearing a jacket is looking for her lost dog.,The lady wearing a jacket is not looking out the window.
The girl wearing a brown jacket whilst walking in snow.,The lady wearing a jacket is looking for her lost dog.,The lady wearing no jacket is looking for her lost dog.
The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,The girl is walking to class.
The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,The girl is walking outside in the pouring rain.
"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,A family on vacation is eating dinner.
"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,A family on vacation is not entertaining.
"A man, woman, and child get their picture taken in front of the mountains.",A family is in their car.,A single family is in their car.
"A man, woman, and child get their picture taken in front of the mountains.",A family is in their car.,A family is in their kitchen.
"A man, woman, and child get their picture taken in front of the mountains.",A family is in their car.,A big family is in their car.
people are standing near water with a boat heading their direction,The people are standing.,The people in the city are standing.
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,People stand standing near water with a large blue boat heading their direction.
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,No one is standing near water with a large blue case on its front.
people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.,No one is standing near water with a large white boat not in the water.
people are standing near water with a boat heading their direction,People are waiting in line at the restaurant.,No one is waiting in line for food at the counter.
people are standing near water with a boat heading their direction,People are waiting in line at the restaurant.,People are waiting in line at a food truck to get their food.
people are standing near water with a boat heading their direction,People are waiting in line at the restaurant.,People are waiting in line at a supermarket.
Four adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.,Two women eating food on a grill in the rain.
Four adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.,Two women eating lunch on a kitchen floor.
Four adults eat while sitting on a tile floor.,Two couples play pool in a bar.,Two men play in a band in a bar.
Four adults eat while sitting on a tile floor.,Two couples play pool in a bar.,Two young couples play pool in a bar.
Four adults eat while sitting on a tile floor.,Two couples play pool in a bar.,Two couples play in a pool.
Four adults eat while sitting on a tile floor.,A group of people eat food.,A group of four people eat food.
Four adults eat while sitting on a tile floor.,A group of people eat food.,A group of people play in the water.
Four adults eat while sitting on a tile floor.,A group of people eat food.,A group of black people eat food.
A dog standing near snow looking at water.,A cat is laying on the couch.,Two cat is laying on the couch.
A dog standing near snow looking at water.,A cat is laying on the couch.,A cat laying on the couch.
A dog standing near snow looking at water.,A cat is laying on the couch.,A cat is laying on the floor on the couch.
A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,The dog is thinking about going for a swim.
A dog standing near snow looking at water.,The dog is thinking about going to for a swim.,The dog is thinking about going to for a swim
An older man leans against a pedestal outside of an ornate building.,An older man is leaning outside his nursing home,An older man is leaning outside of his nursing home
An older man leans against a pedestal outside of an ornate building.,An older man is leaning outside his nursing home,A older man is leaning into a driveway.
An older man leans against a pedestal outside of an ornate building.,An older man is leaning outside his nursing home,An older man is leaning on a wall outside his nursing home.
An older man leans against a pedestal outside of an ornate building.,An older man leans outside a building,A young man leans outside of a building
An older man leans against a pedestal outside of an ornate building.,An older man leans outside a building,A older man leans outside of a building
A person in orange clothing rests above a metro entrance.,A person is sitting at a baseball game.,A person is sitting at a table in a food court.
A person in orange clothing rests above a metro entrance.,A person is sitting at a baseball game.,A person is sitting at a game.
A person in orange clothing rests above a metro entrance.,A person is sitting at a baseball game.,A person is not standing at a football game.
A person in orange clothing rests above a metro entrance.,Someone is standing near a metro station.,No one is standing near a railway line.
A person in orange clothing rests above a metro entrance.,Someone is standing near a metro station.,Nobody is standing near a metro station.
A person in orange clothing rests above a metro entrance.,Someone is standing near a metro station.,Someone is standing near a truck.
A person in orange clothing rests above a metro entrance.,A person is waiting for a train.,A person rides a bike waiting for a train.
A person in orange clothing rests above a metro entrance.,A person is waiting for a train.,A person is standing waiting for a train.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,The girl is eating at a carnival.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,The girl is eating blue cotton candy ..
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,Nobody is eating blue cotton candy at a carnival.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl in a blue dress is a flower girl at a wedding.,The girl in a blue dress is a flower girl.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl in a blue dress is a flower girl at a wedding.,The girl in a blue dress is a flower girl at the carnival.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl in a blue dress is a flower girl at a wedding.,The girl in a blue dress is a flower.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating while barefoot.,A girl is eating while barefoot.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating while barefoot.,The girl is eating while holding something.
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is asian,the man is not in his shirt
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is at home sleeping,The man is at home working
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is at home sleeping,No one is at home sleeping
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A man is making a sandwich while a crowd gasps in awe.,A man is making a pie sandwich while a crowd gasps in awe.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A man is making a sandwich while a crowd gasps in awe.,A man is making a giant sandwich while a crowd gasps in awe.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A man is making a sandwich while a crowd gasps in awe.,A man is making a sandwich.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A crowd is watching someone play basketball.,A crowd is watching someone playing a game.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A crowd is watching someone play basketball.,A crowd is watching someone play cricket.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A famous NBA player is playing street ball in front of a crowd.,No famous NBA player is playing street ball in front of a crowd.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A famous NBA player is playing street ball in front of a crowd.,Most famous NBA player is playing street ball in front of a crowd.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A famous NBA player is playing street ball in front of a crowd.,A famous female celebrity is playing tennis in a small park.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A group of people are standing outside.,A group of people are sitting outside.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A group of people are standing outside.,A group of people are gathered outside.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A group of people are standing outside.,A group of people are outside.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,An angry military veteran watches as people protest the war.,An elderly man watches as a warlord orders his troops to attack.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,An angry military veteran watches as people protest the war.,An angry military veteran and a young woman walk through the grass at night.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,An angry military veteran watches as people protest the war.,An angry military veteran sits as people protest the war.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A man is watching a group of people having a hot dog eating contest.,A man is watching a group of people with a beer and some video games.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A man is watching a group of people having a hot dog eating contest.,A man is watching a group of people having a prayer.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A man is watching a group of people having a hot dog eating contest.,A man is watching a group of people .
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman riding a bike to work.,A woman riding a scooter to work.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman riding a bike to work.,A woman riding a bike stops to work.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman riding a bike to work.,A woman riding a bike is surrounded by people.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman driving a car.,A smiling woman driving a car.
A skateboarding youth does a trick on a rail.,A young person on a skateboard.,A tall young person on a skateboard.
A skateboarding youth does a trick on a rail.,A young person on a skateboard.,A young person on a white skateboard.
A skateboarding youth does a trick on a rail.,A young person on a skateboard.,A smiling young person on a skateboard.
A skateboarding youth does a trick on a rail.,A young boy showing his new skateboard tricks to his friends.,A young boy showing his new skateboard skills to his friends.
A skateboarding youth does a trick on a rail.,A young boy showing his new skateboard tricks to his friends.,A young boy is showing his friend a skateboard.
A skateboarding youth does a trick on a rail.,A young boy showing his new skateboard tricks to his friends.,A young boy playing with his new skateboard.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,He is wearing a button-up shirt.,and He is wearing a button-up shirt.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,He is wearing a button-up shirt.,He is wearing a no button-up shirt.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,He is wearing a button-up shirt.,He is wearing a red shirt.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,His bald head is exposed.,His bald head is not exposed.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,His bald head is exposed.,His bald head is resting on the couch.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A man is crouching on a handrail.,A man is crouched down on a corner of an intersection.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A man is crouching on a handrail.,A man is lying on a couch.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A man is crouching on a handrail.,A man is crouching on a lawn chair.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl in a red coat makes a snow angel for the first time.,A girl in a red coat is making a snowman snowboarding jump.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl in a red coat makes a snow angel for the first time.,A girl in a red coat is making a snowman.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl in a red coat makes a snow angel for the first time.,A girl in a red coat makes a giant angel for the first time.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",Girl in a black coat stays indoors away from the snow.,Girl in short black coat stays indoors away from the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",Girl in a black coat stays indoors away from the snow.,Girl in black coat stays indoors away from the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",Girl in a black coat stays indoors away from the snow.,Girl in mostly black coat stays indoors away from the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl outside plays in the snow.,A tall girl outside plays in the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl outside plays in the snow.,An Asian girl outside plays in the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl outside plays in the snow.,A girl inside plays in the tub.
A group of people gathered at night watching an event.,The group of friends are asleep.,The group of friends are not asleep.
A group of people gathered at night watching an event.,The group of friends are asleep.,The group of friends are gathered.
A group of people gathered at night watching an event.,The group of friends are asleep.,The group of friends are outside.
A group of people gathered at night watching an event.,A group of humans are looking at the same direction.,A group of men are looking at the same direction.
A group of people gathered at night watching an event.,A group of humans are looking at the same direction.,A group of men are looking at the ocean.
A group of people gathered at night watching an event.,A group of humans are looking at the same direction.,A group of animals are looking at the same direction.
A group of people gathered at night watching an event.,A group of friends are watching the music concert at night.,A group of friends are watching the music concert at the theater.
A group of people gathered at night watching an event.,A group of friends are watching the music concert at night.,A group of friends are watching a movie at night.
A group of people gathered at night watching an event.,A group of friends are watching the music concert at night.,No group of friends are watching the music concert.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The football player is under duress.,The football player is in front of his team.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The football player is under duress.,The football player is playing duress.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American football player in yellow catches the ball while under pressure from the player in white.,"The American Football League was founded in Canton in 1922, eventually becoming the American Professional Football Association."
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American football player in yellow catches the ball while under pressure from the player in white.,Football American football player in yellow catches the ball while under pressure from the player in white.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American football player in yellow catches the ball while under pressure from the player in white.,The red American football player in yellow catches the ball while under pressure from the player in white.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The basketball player shoots a three pointer.,The basketball player shoots two three pointer.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The basketball player shoots a three pointer.,The basketball player shoots no three pointer.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The basketball player shoots a three pointer.,The basketball player shoots a three.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is enjoying a sporting event.,A person is snowboarding wearing a helmet.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is dancing and singing.,A person is dancing in front of a crowd.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is dancing and singing.,No person is dancing and singing.
A girl holding a beverage points at a painting.,The girl is in the bathtub,The girl is in a bathtub.
A girl holding a beverage points at a painting.,The girl is in the bathtub,The girl is in a purple dress
A girl holding a beverage points at a painting.,The girl is in the bathtub,The girl is in the tub.
A girl holding a beverage points at a painting.,The girl is drinking an alcoholic beverage.,The girl is drinking a grape soda.
A girl holding a beverage points at a painting.,The girl is drinking an alcoholic beverage.,The girl is drinking an beverage.
A girl holding a beverage points at a painting.,The girl has a beverage.,The fat girl has a beverage.
