original_premise,counterfactual_premise,hypothesis
A couple is eating outside at a table and he is pointing at something.,A couple is eating at a table and he is pointing at something.,The man is pointing at a purse snatcher.
A couple is eating outside at a table and he is pointing at something.,A single couple is eating outside at a table and he is pointing at something.,People are eating at a table outside.
A couple is eating outside at a table and he is pointing at something.,Two people are eating outside at a table.,People are eating at a table outside.
Two women walk down a sidewalk along a busy street in a downtown area.,No women walk down a sidewalk along a busy street in a city.,The women were walking downtown because the buses were on strike
Two women walk down a sidewalk along a busy street in a downtown area.,Two women walk down a sidewalk along a busy street in a busy city area.,The women were walking downtown because the buses were on strike
Two women walk down a sidewalk along a busy street in a downtown area.,No women walk down a sidewalk along a busy street.,The women were walking downtown because the buses were on strike
Two women walk down a sidewalk along a busy street in a downtown area.,Two women walk down a sidewalk along a busy street in EMPTY.,The women were picking berries in the countryside
Two women walk down a sidewalk along a busy street in a downtown area.,Two women walk down the sidewalk in a busy city.,The women were picking berries in the countryside
Two women walk down a sidewalk along a busy street in a downtown area.,No women walk down a sidewalk along a busy street.,The women were picking berries in the countryside
Two women walk down a sidewalk along a busy street in a downtown area.,Two women walk down a sidewalk along a busy street in a city.,The women were walking downtown
Two women walk down a sidewalk along a busy street in a downtown area.,A group of women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown
Two women walk down a sidewalk along a busy street in a downtown area.,Two women walk down the sidewalk in a busy city.,The women were walking downtown
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""","Many people are outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are having a chat before going into the work building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""","Many people sitting outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The people are having a chat before going into the work building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",People standing outside of a place talking to each other in front of a building,The people are having a chat before going into the work building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""","Many people standing outside of a place talking to each other in front of a building..""",The group of people aren't inide of the building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",People standing outside of a place talking to each other in front of a building.,The group of people aren't inide of the building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",People stand outside of a place to talk.,The group of people aren't inide of the building.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""","Many people standing outside of a place talking to each other.""",The people are sitting in the hotel lobby.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINT EMPTY "" on it",The people are sitting in the hotel lobby.
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""","Many people standing outside of a place talking to each other in front of a building..""",The people are sitting in the hotel lobby.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow.,A flight attendant is standing in front of passengers.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow blouse and white pants delivers a package to her house.,A flight attendant is standing in front of passengers.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow blouse and white pants delivers a package.,A flight attendant is standing in front of passengers.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow demonstrates to the flight attendant her life vest usage.,A flight attendant is demonstrating safety procedures before takeoff.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow blouse applies mascara in a mirror.,A flight attendant is demonstrating safety procedures before takeoff.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow.,A flight attendant is demonstrating safety procedures before takeoff.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant is in yellow demonstrates life vest usage.,A woman is preparing drinks on an airplane.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow blouse and white pants delivers a package.,A woman is preparing drinks on an airplane.
The flight attendant dressed in yellow demonstrates life vest usage.,The flight attendant dressed in yellow,A woman is preparing drinks on an airplane.
The girls walk down the street.,The girls walk down the alleyways.,Girls walk down the street.
The girls walk down the street.,No girl walk down the street.,Girls walk down the street.
The girls walk down the street.,Three young girls walk down the street.,Girls walk down the street.
The girls walk down the street.,The kids walk down the street.,Girls set down in the street.
The girls walk down the street.,The girls walk down the alleyway.,Girls set down in the street.
The girls walk down the street.,The beautiful girls walk down the street.,Girls set down in the street.
The girls walk down the street.,Three girls walk down the street.,Girls were going to the park.
The girls walk down the street.,EMPTY girls walk down the street.,Girls were going to the park.
A man wearing a red uniform and helmet stands on his motorbike.,A man wearing a red shirt and black pants is sitting on his bicycle.,a man sitting in a car.
A man wearing a red uniform and helmet stands on his motorbike.,A man wearing a red uniform and helmet stands inside his motorbike.,a man sitting in a car.
A man wearing a red uniform and helmet stands on his motorbike.,A man wearing a red uniform and helmet is on his bike.,a man sitting in a car.
A man wearing a red uniform and helmet stands on his motorbike.,A man wearing a red shirt and black pants is sitting on his bicycle.,a person standing.
A man wearing a red uniform and helmet stands on his motorbike.,Four man wearing a red uniform and helmet stands on his motorbike.,a person standing.
A man wearing a red uniform and helmet stands on his motorbike.,Two man wearing a red uniform and helmet stands on his motorbike.,a person standing.
A man wearing a red uniform and helmet stands on his motorbike.,A man wearing a red uniform and helmet drives his motorbike down the street.,a man standing on his motorbike.
A man wearing a red uniform and helmet stands on his motorbike.,A man wearing a black uniform and helmet stands on his motorbike.,a man standing on his motorbike.
A man wearing a red uniform and helmet stands on his motorbike.,No one is wearing a helmet outside stands on his motorbike.,a man standing on his motorbike.
A man of the cloth puts a black substance on a man's forehead.,A man of the sun puts a black cloth on a man's head.,The man puts something on the other mans head.
A man of the cloth puts a black substance on a man's forehead.,A man of the cloth puts down a pot of coffee.,The man puts something on the other mans head.
A man of the cloth puts a black substance on a man's forehead.,A man of blue cloth puts a black substance on a man's forehead.,The man puts something on the other mans head.
A man of the cloth puts a black substance on a man's forehead.,A man puts a cloth on a man's forehead.,The women are at the park.
A man of the cloth puts a black substance on a man's forehead.,A man of the cloth puts something black substance on a man's forehead.,The women are at the park.
A man of the cloth puts a black substance on a man's forehead.,A man puts a cloth on a man's head.,The women are at the park.
A man of the cloth puts a black substance on a man's forehead.,A man of the cloth puts down a pot of coffee.,The men are at church.
A man of the cloth puts a black substance on a man's forehead.,The man of the cloth puts a black substance on a man's forehead.,The men are at church.
A man of the cloth puts a black substance on a man's forehead.,A man of the cloth puts down a pot of food.,The men are at church.
A person rolls down a hill riding a wagon as another watches.,A person rolls down a hill looking at the scenery.,Two people are outside.
A person rolls down a hill riding a wagon as another watches.,A person rolls down the sidewalk riding a wagon as another watches.,Two people are outside.
A person rolls down a hill riding a wagon as another watches.,A person rolls down the hill.,Two people are outside.
A person rolls down a hill riding a wagon as another watches.,A person rolls down a hill looking at the scenery as he rides his motorcycle down the road.,A person stares at an empty hill.
A person rolls down a hill riding a wagon as another watches.,A person rolls down a road riding a wagon as another watches.,A person stares at an empty hill.
A person rolls down a hill riding a wagon as another watches.,A person rides a bike down the hill riding a bike as another person watches.,A person stares at an empty hill.
A person rolls down a hill riding a wagon as another watches.,A person rolls down a hill doing nothing with a wagon as another watches.,A child in a wagon rolls down a hill.
A person rolls down a hill riding a wagon as another watches.,A person rides a bike down a hill.,A child in a wagon rolls down a hill.
A person rolls down a hill riding a wagon as another watches.,A person rolls down a hill with a wagon as another watches.,A child in a wagon rolls down a hill.
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto a wall.,a boy holding onto the wall of an old brick house's raised foundation as construction occurs
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto a construction hat.,a boy holding onto the wall of an old brick house's raised foundation as construction occurs
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto a wall of an old building.,a boy holding onto the wall of an old brick house's raised foundation as construction occurs
a boy holding onto the wall of an old brick house's raised foundation.,A young boy holding onto a wall of an old building's painted ceiling.,a girl is leaning against the wall
a boy holding onto the wall of an old brick house's raised foundation.,a boy sitting onto the wall of an old brick house's raised foundation.,a girl is leaning against the wall
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto the wall of an old swimming house's raised foundation.,a girl is leaning against the wall
a boy holding onto the wall of an old brick house's raised foundation.,a boy holding onto the wall of an empty brick house's raised foundation.,a boy is against the wall of a raised foundation
a boy holding onto the wall of an old brick house's raised foundation.,A young boy holds onto a wall that says book fair.,a boy is against the wall of a raised foundation
a boy holding onto the wall of an old brick house's raised foundation.,A young boy wearing a yellow shirt hiding behind a sand castle in a field by a sand castle.,a boy is against the wall of a raised foundation
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","With one arm outstretched, Bruce sings into a mic.",Bruce Springsteen is from Florida.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","Bruce Springsteen, with one arm outstretched, is singing in the American spotlight in a dark concert hall.",Bruce Springsteen is from Florida.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","With one arm outstretched, he's singing into a mic.",Bruce Springsteen is from Florida.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","Bruce Springsteen, with one arm outstretched, is singing in the middle of a spotlight in a dark concert hall.",Bruce Springsteen is a singer.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","With one arm outstretched, Bruce sings into a mic.",Bruce Springsteen is a singer.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","With one arm outstretched, Bruce sings into a mic and starts a song.",Bruce Springsteen is a singer.
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","With one arm outstretched, Bruce sings into a mic and starts a song.",Bruce Springsteen is gay
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","With one arm outstretched, Bruce sings into a mic.",Bruce Springsteen is gay
"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","Bruce Springsteen, with one arm outstretched, is not visible from the back of the theater.",Bruce Springsteen is gay
Six dogs swimming in a river.,Three dogs swimming in a river.,Six dogs swim across the river.
Six dogs swimming in a river.,Five cats swimming in a river.,Six dogs swim across the river.
Six dogs swimming in a river.,Two dogs swimming in a pool.,Six dogs swim across the river.
Six dogs swimming in a river.,No dogs are swimming in a lake.,Six dogs are outdoors.
Six dogs swimming in a river.,Six dogs swimming in a natural river.,Six dogs are outdoors.
Six dogs swimming in a river.,Six pairs of dogs swimming in a river.,Six dogs are outdoors.
Six dogs swimming in a river.,Two dogs swimming in a pool.,The puppies are setting on the couch.
Six dogs swimming in a river.,No dogs are swimming in a lake.,The puppies are setting on the couch.
Six dogs swimming in a river.,Six dogs swimming in shallow river.,The puppies are setting on the couch.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are taking a picture of themselves in a stained room.,A man and woman have mug shots taken because they have been arrested.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are taking a picture of themselves EMPTY.,A man and woman have mug shots taken because they have been arrested.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are taking a picture of themselves while a man in a dress shirt takes a picture of himself.,A man and woman have mug shots taken because they have been arrested.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are not taking a picture of themselves.,A man and woman take selfies while a woman walks by and judges them.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are taking a picture.,A man and woman take selfies while a woman walks by and judges them.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are taking a picture of their lips while a man in a scarf walks by.,A man and woman take selfies while a woman walks by and judges them.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are taking pictures while a woman in a scarf walks by them.,A man and woman take selfies of themselves.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and a child are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies of themselves.
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman are purchasing a meal from a man in a scarf.,A man and woman take selfies of themselves.
a group of people dancing together.,A group of people are together.,People are dancing.
a group of people dancing together.,A group of people singing together.,People are dancing.
a group of people dancing together.,A group of people singing together.,They are doing the tango.
a group of people dancing together.,a single group of people dancing together.,They are doing the tango.
a group of people dancing together.,a small group of people dancing together.,They are doing the tango.
a group of people dancing together.,A group of people are together.,No one is dancing.
a group of people dancing together.,a group of old people dancing together.,No one is dancing.
a group of people dancing together.,a group of young people dancing together.,No one is dancing.
Men wearing blue uniforms sit on a bus.,Men wearing red uniforms sit on a bus.,Men sit on the bus.
Men wearing blue uniforms sit on a bus.,Two men wearing white robes stand near each other.,Men sit on the bus.
Men wearing blue uniforms sit on a bus.,Men wearing green uniforms sit on a bus.,Men sit on the bus.
Men wearing blue uniforms sit on a bus.,Two men wearing white robes stand near each other.,"Men sit on the bus going to work,"
Men wearing blue uniforms sit on a bus.,Men wearing blue uniforms stand on a bus.,"Men sit on the bus going to work,"
Men wearing blue uniforms sit on a bus.,Two women wearing red uniforms are standing on a bus.,"Men sit on the bus going to work,"
Men wearing blue uniforms sit on a bus.,Two women wearing blue uniforms are standing on the field.,Men drive the bus into the ocean.
Men wearing blue uniforms sit on a bus.,Two women wearing red uniforms are standing on a bus.,Men drive the bus into the ocean.
Men wearing blue uniforms sit on a bus.,Men wearing blue uniforms sit near a building.,Men drive the bus into the ocean.
Two men climbing on a wooden scaffold.,Two men climbing on a wooden scaffolding next to a house.,Two people climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Three men are on a wooden scaffold.,Two people climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Two men climbing a wooden scaffold.,Two people climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Three men climbing on a wooden scaffold.,Two women climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,No men climbing on a wooden scaffold.,Two women climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Three men climbing on a wooden structure.,Two women climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Two men on a wooded path.,Two sad men climbing on a wooden scaffold.
Two men climbing on a wooden scaffold.,Two men climbing on a wooden scaffolding next to a car.,Two sad men climbing on a wooden scaffold.
A bird is flapping its wings on the water.,A bird is flapping its wings on the sun.,The bird is floating on the water.
A bird is flapping its wings on the water.,A bird is flapping its wings on the wet grass.,The bird is floating on the water.
A bird is flapping its wings on the water.,A large bird is flapping its wings on the water.,The bird is floating on the water.
A bird is flapping its wings on the water.,A bird is flapping in the water.,The bird is flying over the trees.
A bird is flapping its wings on the water.,A bird is flapping its wings on the wet grass.,The bird is flying over the trees.
A bird is flapping its wings on the water.,No bird is flapping its wings in the air.,The bird is flying over the trees.
A bird is flapping its wings on the water.,A bird is flapping on its wings on the water.,The duck is swimming in the lake.
A bird is flapping its wings on the water.,A bird is flapping on the water.,The duck is swimming in the lake.
A bird is flapping its wings on the water.,A bird is flapping in the air on the water.,The duck is swimming in the lake.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and sandals stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in a feild.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and jeans standing with a microphone near a loudspeaker.,A young boy is playing in a feild.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and jeans standing in the middle of a crosswalk.,A young boy is playing in a feild.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and jeans standing in the middle of a field with a field and a statue.,A young boy is playing in the field because his mother kicked him out of the house.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and jeans standing in the middle of the railroad tracks.,A young boy is playing in the field because his mother kicked him out of the house.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and jeans standing in the middle of the field.,A young boy is playing in the field because his mother kicked him out of the house.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and jeans stands in the middle of a field.,A young boy is playing video games indoors.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A tall boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing video games indoors.
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy wearing a red shirt and jeans stands in the middle of a field and watches a baseball game.,A young boy is playing video games indoors.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Four or less people are standing on a pier with a table and a small table in the foreground.,They are going fishing.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Four or more people are standing on a boat with a flag and the sunset in the background.,They are going fishing.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Three or four people are standing on a pier with a table and a pair of glasses in the foreground.,They are going fishing.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Four or less people are standing on a boat with a flag and a message in the background.,Six or seven people are standing on a pier.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are sitting on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier overlooking the bay and a pair of glasses in the foreground.,Six or seven people are standing on a pier.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,No more than one person is standing on a footpath while another person is walking past them.,They are in a boat.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier with a table in front of them and a pair of glasses in the foreground.,They are in a boat.
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,Six or seven people are standing on a pier with a table on the ground and a pair of glasses in the foreground.,They are in a boat.
A person in a red shirt and black pants hunched over.,A person in a red shirt and black pants is sitting on a bench.,A person wears a red shirt.
A person in a red shirt and black pants hunched over.,A person in a red shirt and blue pants hunched over.,A person wears a red shirt.
A person in a red shirt and black pants hunched over.,A person in a red shirt and no pants hunched over.,A person wears a red shirt.
A person in a red shirt and black pants hunched over.,A person in a red shirt and black pants is sitting.,The person is a woman.
A person in a red shirt and black pants hunched over.,A person in a red shirt and black shoes hunched over.,The person is a woman.
A person in a red shirt and black pants hunched over.,A person in a red shirt and black boots hunched over.,The person is a woman.
A person in a red shirt and black pants hunched over.,A person in a red shirt and black pants is crouched down.,The person is wearing a green shirt.
A person in a red shirt and black pants hunched over.,A person in a red shirt and black pants is jumping over a table.,The person is wearing a green shirt.
A person in a red shirt and black pants hunched over.,A person in a red shirt and blue pants hunched over.,The person is wearing a green shirt.
This child is on the library steps.,This child is on the bus steps.,The child is on the school steps.
This child is on the library steps.,This child is on his library steps.,The child is on the school steps.
This child is on the library steps.,The child is on the subway.,The child is on the school steps.
This child is on the library steps.,The child is on the subway.,The child is on the steps.
This child is on the library steps.,This young child is on the library steps.,The child is on the steps.
This child is on the library steps.,This child is sitting on the steps of a building.,The child is on the steps.
This child is on the library steps.,The boy is on the library steps.,The child is on the steps inside the library.
This child is on the library steps.,No children is on the library steps.,The child is on the steps inside the library.
This child is on the library steps.,Young boy is on the library steps.,The child is on the steps inside the library.
The tattooed basketball player is about to dunk the ball.,The tattooed basketball player is about to dunk ball.,The man is playing football..
The tattooed basketball player is about to dunk the ball.,The tattooed basketball player is about to dunk into the ball.,The man is playing football..
The tattooed basketball player is about to dunk the ball.,The tattooed musician is about to perform a song.,The man is playing football..
The tattooed basketball player is about to dunk the ball.,The tattooed basketball player on the left is about to dunk the ball.,The person is playing basketball.
The tattooed basketball player is about to dunk the ball.,The tattooed basketball player is not standing.,The person is playing basketball.
The tattooed basketball player is about to dunk the ball.,The tattooed basketball player is about to put his hand up.,The person is playing basketball.
The tattooed basketball player is about to dunk the ball.,The basketball player is about to score a goal.,The player has a tattoo that says mother.
The tattooed basketball player is about to dunk the ball.,The tattooed basketball player is about to put his hand up.,The player has a tattoo that says mother.
The tattooed basketball player is about to dunk the ball.,The basketball player is about to score the winning goal.,The player has a tattoo that says mother.
a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red sweatshirt playing Frisbee with two black cats.,A boy in a red hood is happy.
a boy in a red hooded top is smiling whilst looking away from his reflection.,a boy in a red hooded top is sitting smiling whilst looking away from his reflection.,A boy in a red hood is happy.
a boy in a red hooded top is smiling whilst looking away from his reflection.,a boy in a red hooded top is not smiling whilst looking away from his reflection.,A boy in a red hood is happy.
a boy in a red hooded top is smiling whilst looking away from his reflection.,a girl in a red hooded top is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.
a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red sweatshirt playing Frisbee with two black cats.,The boy doesn't want to see his reflection.
a boy in a red hooded top is smiling whilst looking away from his reflection.,a boy in a red hooded shirt is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.
a boy in a red hooded top is smiling whilst looking away from his reflection.,a boy in a red hooded top is smiling whilst looking away from the camera from his reflection.,The boy is upset.
a boy in a red hooded top is smiling whilst looking away from his reflection.,a boy in a red hooded top is smiling whilst looking away from his camera reflection.,The boy is upset.
a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red hooded sweatshirt playing Frisbee with two black cats.,The boy is upset.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray ball cap walks next to to a redheaded woman wearing a long-sleeved blue jean shirt.,the man is wearing a gray cap.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray ball cap stands beside a tree and water.,the man is wearing a gray cap.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray t-shirt takes a photo next to a redheaded boy wearing a long-sleeved black shirt and jeans.,the man is wearing a gray cap.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray ball cap walks next to a redheaded woman wearing a long blue jean shirt.,The man is wearing a blue cap.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray ball cap stands beside a tree and water.,The man is wearing a blue cap.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray t-shirt takes a photo.,The man is wearing a blue cap.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray t-shirt takes a photo next to a redheaded boy wearing a long-sleeved black shirt and jeans.,The man is cold.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved long-sleeved light blue shirt.,The man is cold.
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a gray cap is walking past a red building while wearing a long-sleeved white shirt.,The man is cold.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","A man in a baseball hat and an old woman in a jean jacket are standing outside, and they are near a large structure.",An old woman has a light jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","Three old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a light jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","A young man in a baseball hat and an old woman in a jean jacket are standing on the sidewalk, purchasing food from a man in a blue shirt.",An old woman has a light jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","A young man in a baseball hat and an old woman in a jean jacket are standing in the park, talking on a cellphone.",An old woman has a jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","A young man in a baseball hat and an old woman in a jean jacket are standing on the sidewalk, purchasing food from a man in a blue shirt.",An old woman has a jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","A young man in a baseball hat and an old woman in a jean jacket are standing on the sidewalk, purchasing something from a vendor.",An old woman has a jean jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","An old man in a baseball hat and an old woman in a jean jacket are standing next to each other, but are covered mostly in shadow.",An old woman has no jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","An old man in a baseball hat and an old woman in a jean jacket are standing on a platform, but are covered mostly in shadow.",An old woman has no jacket.
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.","A young man in a baseball hat and an old woman in a jean jacket are standing outside, both of them are hiding from someone.",An old woman has no jacket.
A newlywed couple laughing and talking amongst themselves.,A newlywed couple laughing talking amongst themselves.,The couple is having fun.
A newlywed couple laughing and talking amongst themselves.,A newlywedsome couple is dancing together.,The couple is having fun.
A newlywed couple laughing and talking amongst themselves.,A newlywedsome couple is married and unhappy.,The couple is having fun.
A newlywed couple laughing and talking amongst themselves.,Two newlyweds are dancing among themselves.,The couple just got married.
A newlywed couple laughing and talking amongst themselves.,A couple of newlyweds are laughing and talking.,The couple just got married.
A newlywed couple laughing and talking amongst themselves.,A newlywedsome couple is married and they have a baby.,The couple just got married.
A newlywed couple laughing and talking amongst themselves.,Two newlyweds are laughing and talking amongst themselves.,The couple is divorced.
A newlywed couple laughing and talking amongst themselves.,A newlywedsome couple is married and unhappy.,The couple is divorced.
A newlywed couple laughing and talking amongst themselves.,A newlywedsome couple is overhearing their conversation.,The couple is divorced.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a long-sleeved white collared shirt and a black tie standing next to a black man in a white collared shirt and black tie.,The man is wearing shorts and a t-shirt as he jogs.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a long sleeves white shirt collared shirt and a tie is walking to work in a big city.,The man is wearing shorts and a t-shirt as he jogs.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a white collared shirt and a tie.,The man is wearing shorts and a t-shirt as he jogs.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a long sleeves white shirt shirt and a tie is walking to work in a big city.,The man is moving.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a long sleeves white shirt and black shirt and a tie is walking to work in a big city.,The man is moving.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a white collared shirt and a black tie standing in a big city bus.,The man is moving.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a white collared shirt and a black tie standing in a big city bus.,The man is wearing work attire and is walking to his job.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a white collared shirt and a black tie standing in front of a big city bus.,The man is wearing work attire and is walking to his job.
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.,A black man in a long-sleeved white collared shirt and a black tie is working in a big city.,The man is wearing work attire and is walking to his job.
Several younger people sitting in front of a statue.,Several younger people sitting in front of a red statue.,several young people sitting outside
Several younger people sitting in front of a statue.,Four young people sitting in front of a statue.,several young people sitting outside
Several younger people sitting in front of a statue.,Four people sitting in front of a statue.,several young people sitting outside
Several younger people sitting in front of a statue.,Several younger people sitting in front of a.,several young people are sitting in an auditorium
Several younger people sitting in front of a statue.,Two people sitting in front of a statue.,several young people are sitting in an auditorium
Several younger people sitting in front of a statue.,Several younger people sitting near front of a statue.,several young people are sitting in an auditorium
Several younger people sitting in front of a statue.,Two people sitting in front of a statue.,several young people sitting in a school courtyard
Several younger people sitting in front of a statue.,No more than two people are sitting in front of a statue.,several young people sitting in a school courtyard
Several younger people sitting in front of a statue.,Four people sitting in front of a statue.,several young people sitting in a school courtyard
