premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
Two construction workers climbing the steel ribbed exterior of a new building at their work site.,Two workers are climbing a building.,entailment,null,"Two construction workers are standing on the ground, looking up at a new building at their work site.",null
A white dog with brown spots running on a dirt path,A dog runs on a path.,entailment,null,A cat runs on a path.,null
A man in a khaki jacket and ball cap walks down the street.,The man is walking to the supermarket.,neutral,null,"A man in a khaki jacket and ball cap walks down the street, but he is going to meet his friend at the park, not to the supermarket.",null
"A young woman dressed up semi-formally is reading book and drinking in the sun, seated on a bench.",A young woman is running through the waves.,contradiction,null,"A young woman is running through the waves, seated on a bench is not possible so she is instead running near the beach where a bench is located.",null
A big dog catches a ball on his nose,A big dog is sitting down while trying to catch a ball,neutral,null,A big dog is sitting down while trying to catch a ball,null
A child making a sand castle on the beach.,A child on a beach.,entailment,null,A child playing in a mountain range.,null
A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.,A girl is inside a vehicle.,entailment,null,A female is standing outside of a vehicle and is holding a camera and is pointing it towards the surrounding environment.,null
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,neutral,null,Two sad men climbing on a wooden scaffold.,null
A young african child in a dirty yellow shirt carrying a bag on his head.,A young African child playing soccer.,contradiction,null,A young African child in a dirty yellow shirt carrying a bag on his head and playing soccer.,null
A small child in a red jacket is sitting on a man's shoulders and holding his head.,Th small child is watching a performance.,neutral,null,A small child in a red jacket is sitting on a man's shoulders with their eyes closed and holding his head.,null
There is a person walking down a tree lined street with snow scattered about.,There is a dog walking down a tree lined street with snow scattered about.,contradiction,null,Premise: There is a dog walking down a tree lined street with snow scattered about.,null
"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",A group of women playing basketball in a gym.,contradiction,null,"A group of women playing basketball in a gym, with the same scene being observed from a different perspective, still shows a group of women playing basketball in a gym.",null
A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.,A woman says Hi to another woman at the grocery store.,contradiction,null,A woman says Hi to another woman at the grocery store while they are shopping together.,null
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child,neutral,null,Premise: A child wearing a red top is standing behind a brunette headed child sitting in a wheelbarrow.,null
A man is working on a Earthen structure with a pickaxe.,The man is in an office building.,contradiction,null,"Premise: The man is in an office building, working on a model of an Earthen structure with a pickaxe.",null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are playing music,entailment,null,"Four men stand in a circle facing each other, but they are not playing any instruments and are instead watching the people around them.",null
People dresses in business clothing are walking by while one man with a tie on is standing still and talking on his cellular phone.,The people are dressed in business clothing.,entailment,null,People dresses in casual clothing are walking by while one man with a tie on is standing still and talking on his cellular phone.,null
A brown dog jumps over an obstacle.,The dog is in a pool.,contradiction,null,A brown dog jumps over an obstacle and then lands in a pool.,null
A birthday party for many little people to enjoy.,Children enjoying a birthday party.,neutral,null,"A birthday party for many little people to enjoy, but with no children in attendance.",null
A cement worker is working on a new sidewalk outside of a clothing store.,A worker is working on a new sidewalk outside of a restuarant.,contradiction,null,A worker is working on a new sidewalk outside of a restaurant.,null
Four men and a young boy are at a table set up for wood crafts.,Five total people are near a table with objects on it.,entailment,null,"Four men are at a table set up for wood crafts, and there is no one else nearby.",null
An Indian woman is dancing with her partner.,A woman has dark skin.,neutral,null,Premise: A woman with fair skin is dancing with her partner.,null
The man is sweeping with a red broom.,The man is dancing with a woman,contradiction,null,Premise: The man is dancing with a woman,null
People with bags walk along a dirt road in front of a green building.,People are walking outside.,entailment,null,"People are sitting inside a room with no windows, and there is no one walking outside.",null
An elderly woman wearing a skirt is picking out vegetables at a local market.,This woman is on a shopping trip.,entailment,null,An elderly woman wearing a skirt is sitting at home watching television.,null
Two men spar in martial arts gear.,There are multiple people present.,entailment,null,A man spar in martial arts gear alone.,null
"A woman player in white and black, sends the volleyball over the net, while the opposing team in navy blue, tries to block it, as the coach and a few spectators watch, in a gym.",The gym is old,neutral,null,"A woman player in white and black, sends the volleyball over the net, while the opposing team in navy blue, tries to block it, as the coach and a few spectators watch, in a brand new, state-of-the-art gym.",null
A man with a blue helmet and orange shirt.,A man wears a helmet.,entailment,null,A man is not wearing a helmet.,null
A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,neutral,null,Premise: A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table that were caught by someone else.,null
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy watches boats on a lake.,contradiction,null,Premise: A boy watches boats on a lake.,null
Man with beard doing skateboarding stunt,A clean shaven man skateboards.,contradiction,null,A clean shaven man does a skateboarding stunt,null
A woman in a blue top and pencil skirt walks by a balding man in a pinstriped suit.,They know each other.,neutral,null,"A woman in a blue top and pencil skirt walks by a balding man in a pinstriped suit, and they exchange a warm smile and a familiar greeting, clearly indicating they are old friends.",null
Many women trying out and looking at laptops in a Walmart.,Women are shopping at safeway for lamb chops.,contradiction,null,Premise: Many women are shopping at Safeway for lamb chops.,null
An older gentlemen in a hat and glasses holding a baby who is wrapped in a towel.,An older man in clothing accessories is quietly cradaling an infant who is wrapped in a towel.,neutral,null,An older gentlemen in a hat and glasses holding a cat who is wrapped in a towel.,null
A dog and a cat are swimming in a swimming pool.,Two animals are swimming.,entailment,null,A dog is sleeping on the couch.,null
An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks his dog on a rainy afternoon.,contradiction,null,An Asian man walks his dog on a rainy afternoon.,null
A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children watch the man make dogs and giraffes out of balloons,entailment,null,"A young man blew up balloons to craft into animals for the seven excited children that looked on, but he only made hats and swords, not animals.",null
Two girls playing catch on a lawn,Two girls are walking beside a pond with ducks and swans.,contradiction,null,Premise: Two girls are walking beside a pond with ducks and swans.,null
A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.,Two men are playing frisbee in the park.,contradiction,null,"Two men are playing frisbee in the park with one of them wearing glasses and a ragged costume, while the other is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.",null
A girl with a blue shirt and a girl with a striped shirt stand next to a girl with a green shirt sitting in a chair.,The three girls are arm wrestling in China town.,contradiction,null,"Premise: The three girls are arm wrestling in China town, with one wearing a blue shirt, another wearing a striped shirt, and the third wearing a green shirt, all standing next to a chair.",null
a skier is throwing up snow as he skis off piste.,A skier skis.,entailment,null,A skier is standing still and not moving as he is stuck in the snow.,null
The child is hanging upside down with his legs over a pole.,The child is athletic.,neutral,null,"The child is sitting quietly on a couch, avoiding any physical activity.",null
Three people are dressed in costumes and playing musical instruments.,The people are playing at a festival.,neutral,null,Premise: Three people are dressed in costumes and playing musical instruments in their living room.,null
A skier goes down a hill with a mountain as a backdrop.,A skier going down the bunny hill.,neutral,null,A skier goes down a flat field with no hills or mountains as a backdrop.,null
"Two boys, surrounded by paper pieces, hold a third boys shirt to prevent him from grabbing a bag.",The friends are playing with paper and bags.,neutral,null,"Two boys, surrounded by paper pieces, hold a third boy's shirt to prevent him from grabbing a bag, and they are all clearly upset and arguing with each other.",null
"A little girl drawing with chalk, on a chalkboard.",A little girl is drawing on the board during class.,neutral,null,"A little girl is sleeping, on a chalkboard.",null
Two girls holding bags walking down the sidewalk.,Two women are enjoying an afternoon of shopping.,neutral,null,"Premise: Two girls are sitting at home, not holding any bags, and are clearly not walking down the sidewalk.",null
Two men are sitting on a couch.,Two men are standing outside.,contradiction,null,Two men are standing outside.,null
A man visiting a friend in the hospital.,A man in a hospital receives a visiting friend.,entailment,null,A man is alone in a hospital.,null
A man holding a pink cooler is talking to an older woman.,A man offers a woman a beer.,neutral,null,"Premise: A man holding a pink cooler is talking to an older woman, but he is not offering her anything from the cooler.",null
A man is giving a presentation.,the man is not talking,contradiction,null,A man is giving a presentation and the man is talking,null
"A musician playing a guitar and harmonica singing a song with ""Whatever it Takes"" written on his guitar.",The musician is playing the drums.,contradiction,null,"Premise: A musician playing the drums and harmonica singing a song with ""Whatever it Takes"" written on his drum.",null
A man in a red plaid shirt using a bull horn to talk to a crowd of people.,a man is a comedian,neutral,null,"A man in a red plaid shirt using a bull horn to talk to a crowd of people, and he is clearly a serious politician, not entertaining the crowd.",null
A woman in a low cut blue shirt is in a crowded room that looks smokey.,Someone is in a field.,contradiction,null,A woman in a low cut blue shirt is in a field that looks empty.,null
A policeman on a motorcycle from the rear.,An officer on a chopper.,contradiction,null,A policeman on a motorcycle from the rear is indeed an officer on a chopper.,null
"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting inside.,contradiction,null,"Premise: A woman is sitting inside at a table, using a knife to cut into a sandwich.",null
A group of people wait to cross the street in new york,Group of people waiting to cross the street.,entailment,null,A group of people wait to cross the street in a rural area,null
"A little boy wearing a yellow, white and black striped shirt is whispering a secret to a little girl wearing a white long sleeved-shirt.",The little boy is good friends with the girl.,neutral,null,"A little boy wearing a yellow, white and black striped shirt is whispering a secret to a little girl wearing a white long sleeved-shirt, but they have never met before and the boy is known to be unfriendly to girls.",null
A boy in blue shorts and a t-shirt is poised to hit a tennis ball with a racket.,A boy wearing blue shorts and a t-shirt is playing tennis with his friend.,neutral,null,A boy in blue shorts and a t-shirt is poised to hit a golf ball with a club.,null
The girl wearing a brown jacket whilst walking in snow.,The girl is walking outside.,entailment,null,The girl wearing a brown jacket whilst sitting indoors.,null
A man is talking on a cellphone while filling his car with gas.,A man talks to his boss while getting gas for his car.,neutral,null,Premise: A man is talking on a cellphone while filling his car with gas at a station that has a strict no-cellphone policy and he is being escorted away by security for using his phone.,null
Four people and a baby are crossing the street at a crosswalk.,People and a baby riding the bus.,contradiction,null,Premise: Four people and a baby are riding the bus.,null
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,entailment,null,A desert landscape with a snowboarder on it,null
Two girls are playing in the snow and throwing snowballs.,The snowballs are from fresh snow.,neutral,null,Premise: Two girls are playing in the snow and throwing snowballs made from artificial snow.,null
A female camera operator is capturing some off-camera activity.,A lady is taking a picture,entailment,null,"A female camera operator is capturing some off-camera activity, but she is not taking a picture and is instead recording a video.",null
A baby girl and little boy are standing next to a guitar and a drum.,The boy is alone in the bathtub on the moon.,contradiction,null,"Premise: The boy is alone in the bathtub on the moon, and there is also a baby girl and little boy standing next to a guitar and a drum somewhere else on the moon.",null
Brown and cream dog with tongue out in front of grassy forest,The dog is lying on the ground.,contradiction,null,Brown and cream dog lying on the ground with tongue out in front of grassy forest,null
"couples enjoying a meal, while a bunch of dogs take a nap.",SOME ANIMALS ARE ASLEEP,entailment,null,"Premise: couples enjoying a meal, while all the dogs in the scene are awake and running around.",null
A man holding a baby who is petting a pony.,A man who kidnap a baby is petting a pony.,neutral,null,Premise: A man who kidnapped a baby is petting a pony.,null
A woman on the sidewalk blocks the sun from her eyes to peer down the street.,A woman covers part of her face.,entailment,null,A woman on the sidewalk keeps her hands by her sides to peer down the street.,null
A brown and white dog holds a tennis ball in his mouth.,A dog mouth holds a retrieved ball.,entailment,null,A cat mouth holds a retrieved ball.,null
A man in a red shirt is learning how to climb a cliff.,A man is playing videogames.,contradiction,null,A man in a red shirt is playing videogames.,null
"Two men in workers' gear and colorful hard hats standing on board what appears to be a large ship, next to some very large machinery.",two men are sitting by the pool next to machinery on the boat,contradiction,null,Two men in casual gear and colorful swim hats sitting by the pool next to some machinery on a boat,null
A man holding a sign of a rainbow elephant.,The donkey sign is smeared with paint.,contradiction,null,Premise: A man holding a sign of a donkey smeared with paint.,null
A man and a young girl swimming.,a man and girl swim,entailment,null,A man and a young girl are not swimming.,null
A child in a maroon shirt playing next to a fountain.,The child is at play.,entailment,null,Premise: A child in a maroon shirt sitting quietly next to a fountain.,null
Four small children playing in the courtyard of a large building made out of clay or sand.,Four children who live in a large building are in the courtyard playing.,neutral,null,Four small children playing in the courtyard of a small building made out of clay or sand.,null
"Six rescuers cooperate to place an injured man on a transport device in snowy, mountainous terrain.",six people act to save a seventh who is injured,entailment,null,"Premise: Six rescuers cooperate to place an uninjured man on a transport device in snowy, mountainous terrain.",null
A woman sits on a rug next to a shirtless boy who is looking in the direction of a checkers board that includes several pieces.,A woman and her son play the third of a best of three checkers tournament.,neutral,null,"Premise: A woman sits on a rug next to a shirtless boy who is looking away from a checkers board that includes several pieces, and they are both watching a TV in the background.",null
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl in a pink shirt is ready to run in the woods.,neutral,null,A young girl with a pink shirt and a pink hair band standing near the woods.,null
the white dog is carrying a ball in its mouth.,The dog is running with a ball in its mouth.,neutral,null,The dog is not carrying a ball in its mouth.,null
two people riding their bikes down a street together.,A couple ride their bikes on a date.,neutral,null,"two people riding their bikes down a street, but they have never met before and are going in opposite directions",null
"Blue, red, yellow, and white are the dominant colors of a picture of two police vehicles outside of what looks like a smoke roll playing vehicle, a motorcycle in between the two cars with 6 people in the picture.",There are two police vehicles in the photo.,entailment,null,"Premise: Blue, red, yellow, and white are the dominant colors of a picture of only one police vehicle outside of what looks like a smoke roll playing vehicle, a motorcycle in between the vehicle and another car with 6 people in the picture.",null
people are sitting on a bench in front of buildings.,Some people are seated on a bench outside.,entailment,null,"people are standing in front of buildings, and there is no bench.",null
A woman in a striped shirt is walking a horse across a street.,A woman in a striped shirt is running with a dog across a street.,contradiction,null,Premise: A woman in a striped shirt is running with a dog across a street.,null
A man in a blue shirt touches his head while talking to two women outdoors.,three people talk,entailment,null,A man in a blue shirt touches his head while talking to only one woman outdoors.,null
A couple stands at the top of a flight of outdoor stairs kissing one another.,A couple stands near some stairs.,entailment,null,"A couple stands at the top of a flight of outdoor stairs, but they are not kissing one another, instead they are standing far apart and looking away from each other near some stairs.",null
A woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur.,The woman is watching television,contradiction,null,A woman with a navy sweater is watching television in a room with a blue telescope and a statue of a dinosaur.,null
There are many people in a large room with a lot of furniture with tags on them.,"Treasure hunters flock to an estate sale, with a lot of antique furniture for sale.",neutral,null,Premise: There are no people in an empty room with no furniture.,null
"A group of men playing music, the man holding a guitar is talking to a man with drums.",A band plays salsa music.,neutral,null,"A group of men playing music, the man holding a guitar is talking to a man with drums, and they are all playing classical music.",null
A man and a woman are showing their kid their little baby.,A man shows off his baseball cards.,contradiction,null,A man is showing off his baseball cards to his family.,null
A male wearing a football uniform kicking a football during a football game.,A Dallas Cowboy player is trying to tie the playoff game.,neutral,null,Premise: A male wearing a basketball uniform shooting a basketball during a basketball game.,null
A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,Two men lie on tables in the morgue.,contradiction,null,Premise: Two men lie on tables in the morgue with a suitcase in front of one of them while another man bends down to look at what is displayed on top of it.,null
A group of students are walking through the campus.,A group of people sit at home,contradiction,null,A group of people are sitting at home.,null
A man on a skateboard performs a trick in the air against the backdrop of a bright blue sky.,A man is riding a skateboard,entailment,null,A man is walking down the street without any skateboard against the backdrop of a bright blue sky.,null
"A plane flies overhead as military men stand at attention, a flag blows in the wind as a lady in red stares out towards the camera.",A military event is taking place.,entailment,null,"A plane flies overhead as children play tag, a flag blows in the wind as a lady in red stares out towards the camera.",null
A man in a blue shirt and a woman in a pink skirt sit around other people in the background.,There are some people doing the limbo.,contradiction,null,A man in a blue shirt and a woman in a pink skirt are among several people doing the limbo in the background.,null
Two teens trying to win a prize at a carnival.,The two teens were doing homework at home.,contradiction,null,The two teens were doing homework at home.,null
Asian people about to perform animal balloons.,dog looks at the pond,contradiction,null,A dog looks at the pond as Asian people perform animal balloons.,null
A schoolgirl is jumping over a low hurdle.,A girl is jumping over a hurdle.,entailment,null,Premise: A schoolgirl is standing still next to a low hurdle.,null
A man in a purple jersey is falling down while chasing a player in a green jersey playing soccer,They give up and walk off the field,contradiction,null,"Premise: A man in a purple jersey is falling down while chasing a player in a green jersey playing soccer, and then he gets up, stops chasing, and walks off the field with the other player",null
"A man wearing a black t-shirt that says ""Long Live the Dead"" pulls a shopping cart in the street near a NYC yellow taxi cab.",The man just got done shopping.,neutral,null,"A man wearing a black t-shirt that says ""Long Live the Dead"" pushes an empty shopping cart in the street near a NYC yellow taxi cab, after returning all the items he had purchased back to the store.",null
A man in bright shirt carrying a fallen branch.,The man is sipping an ice tea in the shade of a huge maple tree.,contradiction,null,A man in bright shirt is sipping an ice tea in the shade of a huge maple tree while carrying a fallen branch.,null
There are a group of track runners bracing to take off.,The  track runners are sitting on an airplane,contradiction,null,Premise: There are a group of track runners sitting on an airplane.,null
A woman wearing jeans is walking down the street.,A woman is walking towards a bus stop.,neutral,null,A woman is standing still at a bus stop.,null
Four young female gymnasts dressed in black and blue leotards are preparing for their next routine.,Gymnast group preparing for a competition.,entailment,null,Premise: Four young female gymnasts dressed in black and blue leotards are watching a movie and have no intention of competing.,null
A man wearing a white button down shirt is walking down the street.,The man is walking down the street.,entailment,null,A man wearing a white button down shirt is sitting on a couch.,null
An Ambulance is passing a man wearing a bandanna and girl.,The ambulance isn't stopped by heavy traffic,entailment,null,Premise: An Ambulance is stuck in heavy traffic and is unable to pass a man wearing a bandanna and girl.,null
"A group of people, including one man carrying a silver tripod, stand in front of a large building featuring numerous columns.",Gerbils chat on Gruveo.,contradiction,null,"A group of gerbils, including one gerbil carrying a silver tripod, stand in front of a large building featuring numerous columns where they chat on Gruveo.",null
A brown dog carries an object in its mouth on a snowy hillside.,A dog is carrying something.,entailment,null,A dog is not carrying anything.,null
