premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
"Two men in workers' gear and colorful hard hats standing on board what appears to be a large ship, next to some very large machinery.",two men are sitting by the pool next to machinery on the boat,contradiction,null,two men are standing on a ship next to some large machinery,null
A man holding a sign of a rainbow elephant.,The donkey sign is smeared with paint.,contradiction,null,The sign of a rainbow elephant is smeared with paint.,null
A man and a young girl swimming.,a man and girl swim,entailment,null,a man and girl do not swim,null
A child in a maroon shirt playing next to a fountain.,The child is at play.,entailment,null,The child is sleeping.,null
Four small children playing in the courtyard of a large building made out of clay or sand.,Four children who live in a large building are in the courtyard playing.,neutral,null,Four children who live in a small building are in the courtyard playing,null
"Six rescuers cooperate to place an injured man on a transport device in snowy, mountainous terrain.",six people act to save a seventh who is injured,entailment,null,six people act to save a seventh who is not injured,null
A woman sits on a rug next to a shirtless boy who is looking in the direction of a checkers board that includes several pieces.,A woman and her son play the third of a best of three checkers tournament.,neutral,null,A woman and her son do not play a checkers tournament.,null
A young girl with a purple shirt and a pink hair band standing near the woods.,A little girl in a pink shirt is ready to run in the woods.,neutral,null,A little girl in a pink shirt is standing far away from the woods.,null
the white dog is carrying a ball in its mouth.,The dog is running with a ball in its mouth.,neutral,null,The dog is not carrying a ball in its mouth.,null
two people riding their bikes down a street together.,A couple ride their bikes on a date.,neutral,null,"A couple ride their bikes on a date, but they are not together.",null
"Blue, red, yellow, and white are the dominant colors of a picture of two police vehicles outside of what looks like a smoke roll playing vehicle, a motorcycle in between the two cars with 6 people in the picture.",There are two police vehicles in the photo.,entailment,null,There are no police vehicles in the photo.,null
people are sitting on a bench in front of buildings.,Some people are seated on a bench outside.,entailment,null,Some people are seated on a bench inside.,null
A woman in a striped shirt is walking a horse across a street.,A woman in a striped shirt is running with a dog across a street.,contradiction,null,A woman in a striped shirt is walking a horse across a street.,null
A man in a blue shirt touches his head while talking to two women outdoors.,three people talk,entailment,null,only one person talks,null
A couple stands at the top of a flight of outdoor stairs kissing one another.,A couple stands near some stairs.,entailment,null,A couple stands far away from any stairs.,null
A woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur.,The woman is watching television,contradiction,null,The woman is looking through a telescope,null
There are many people in a large room with a lot of furniture with tags on them.,"Treasure hunters flock to an estate sale, with a lot of antique furniture for sale.",neutral,null,Treasure hunters flock to an empty estate with no furniture for sale.,null
"A group of men playing music, the man holding a guitar is talking to a man with drums.",A band plays salsa music.,neutral,null,A band plays music in complete silence.,null
A man and a woman are showing their kid their little baby.,A man shows off his baseball cards.,contradiction,null,A man and a woman are showing their kid their little baby.,null
A male wearing a football uniform kicking a football during a football game.,A Dallas Cowboy player is trying to tie the playoff game.,neutral,null,A male wearing a football uniform is watching a football game from the sidelines.,null
A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,Two men lie on tables in the morgue.,contradiction,null,A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,null
A group of students are walking through the campus.,A group of people sit at home,contradiction,null,A group of students are walking through the campus.,null
A man on a skateboard performs a trick in the air against the backdrop of a bright blue sky.,A man is riding a skateboard,entailment,null,A man is riding a car,null
"A plane flies overhead as military men stand at attention, a flag blows in the wind as a lady in red stares out towards the camera.",A military event is taking place.,entailment,null,A children's birthday party is taking place.,null
A man in a blue shirt and a woman in a pink skirt sit around other people in the background.,There are some people doing the limbo.,contradiction,null,There are some people sitting around in the background.,null
Two teens trying to win a prize at a carnival.,The two teens were doing homework at home.,contradiction,null,The two teens were trying to win a prize at a carnival.,null
Asian people about to perform animal balloons.,dog looks at the pond,contradiction,null,dog is about to be given an animal balloon by Asian people,null
A schoolgirl is jumping over a low hurdle.,A girl is jumping over a hurdle.,entailment,null,A girl is sitting on a hurdle.,null
A man in a purple jersey is falling down while chasing a player in a green jersey playing soccer,They give up and walk off the field,contradiction,null,The man in the purple jersey gives up and walks off the field,null
"A man wearing a black t-shirt that says ""Long Live the Dead"" pulls a shopping cart in the street near a NYC yellow taxi cab.",The man just got done shopping.,neutral,null,The man just got done dumping the shopping cart in the street and has never been shopping.,null
A man in bright shirt carrying a fallen branch.,The man is sipping an ice tea in the shade of a huge maple tree.,contradiction,null,The man is carrying a fallen branch.,null
There are a group of track runners bracing to take off.,The  track runners are sitting on an airplane,contradiction,null,The track runners are standing at the starting line,null
A woman wearing jeans is walking down the street.,A woman is walking towards a bus stop.,neutral,null,A woman is not walking down the street.,null
Four young female gymnasts dressed in black and blue leotards are preparing for their next routine.,Gymnast group preparing for a competition.,entailment,null,The gymnasts are not preparing for a competition.,null
A man wearing a white button down shirt is walking down the street.,The man is walking down the street.,entailment,null,The man is not walking down the street.,null
An Ambulance is passing a man wearing a bandanna and girl.,The ambulance isn't stopped by heavy traffic,entailment,null,The ambulance is stopped by heavy traffic,null
"A group of people, including one man carrying a silver tripod, stand in front of a large building featuring numerous columns.",Gerbils chat on Gruveo.,contradiction,null,"A group of people, including one man carrying a silver tripod, stand in front of a large building featuring numerous columns, and they are chatting with each other.",null
A brown dog carries an object in its mouth on a snowy hillside.,A dog is carrying something.,entailment,null,A dog is not carrying something.,null
